Android Versionen;;;
;;;
Codename;Version;API Level 23 - 1;Erscheinungsdatum
Marshmallow;6;23;5. Oktober 2015
Lollipop;5.1.x;22;9. März 2015
Lollipop;5.0.x;21;3. November 2014 - 19. Dezember 2014
Wear;4.4W;20;Juni 2014
KitKat;4.4.x;19;31. Oktober 2013 - 19. Juni 2014
Jelly Bean;4.3.x;18;24. Juli 2013 - 4. Oktober 2013
Jelly Bean;4.2.x;17;13. November 2012 - 12. Februar 2013
Jelly Bean;4.1.x;16;27. Juni 2012 - 10. Oktober 2012
Ice Cream Sandwich;4.0.3 - 4.0.4;15, NDK 8;16. Dezember 2011 - 4. Februar 2012
Ice Cream Sandwich;4.0 - 4.0.2;14, NDK 7;19. Oktober 2011 - 15. Dezember 2011
Honeycomb;3.2.x;13;16. Juli 2011
Honeycomb;3.1;12, NDK 6;10. Mai 2011
Honeycomb;3;11;23. Februar 2011
Gingerbread;2.3.3 - 2.3.7;10;23. Februar 2011 - 20. September 2011
Gingerbread;2.3 - 2.3.2;9, NDK 5;6. Dezember 2010 - Januar 2011
Froyo;2.2 - 2.2.2;8, NDK 4;20. Mai 2010 - Januar 2011
Eclair;2,1;7, NDK 3;12. Dezember 2010
Eclair;2.0.1;6;3. Dezember 2009
Eclair;2;5;26. Oktober 2009
Donut;1.6;4, NDK 2;15. September 2009
Cupcake;1.5;3, NDK 1;30. April 2009
ohne Codename;1.1;2;10. Februar 2009
ohne Codename;1;1;23. September 2008
;;;
;;;
;;;
