iOS Versionen;;
;;
;;
Codename;Version 5 - 1;Erscheinungs- datum
Hoodoo;5.1.x;7. März 2012
Telluride;5.0.x;12. Oktober 2011
Durango;4.3.x;9. März 2011
Jasper;4.2.x;22. November 2010
Baker;4.1;8. September 2010
Apex;4.0.x;21. Juni 2010
Wildcat;3.2.x;3. April 2010
Northstar;3.1.x;9. September 2009
Kirkwood;3.0.x;17. Juni 2009
Timberline;2.2.x;21. November 2008
Sugarbowl;2.1.x;9. September 2008
Big Bear;2.x;11. Juli 2008
Little Bear;1.1.x;14. September 2007
Alpine;1.0.x;29. Juni 2007
;;
;;
;;
Codename;Version 9 - 6;Erscheinungs- datum
Monarch;9.2 Beta;3. November 2015
Monarch;9.1;21. Oktober 2015
Monarch;9.0.x;16. September 2015
Copper;8.4.x;30. Juni 2015
Stowe;8.3;8. April 2015
OkemoZurs;8.2;9. März 2015
OkemoTaos;8.1.x;9. Dezember 2015
Okemo;8.0.x;17. September 2014
Sochi;7.1.x;10. März 2014
Innsbruck;7.0.x;18. September 2013
Brighton;6.1.x;21. Februar 2013
Sundance;6.0.x;19. September 2012
;;
Codename;Version 5 - 1;Erscheinungs- datum
Hoodoo;5.1.x;7. März 2012
Telluride;5.0.x;12. Oktober 2011
Durango;4.3.x;9. März 2011
Jasper;4.2.x;22. November 2010
Baker;4.1;8. September 2010
Apex;4.0.x;21. Juni 2010
Wildcat;3.2.x;3. April 2010
Northstar;3.1.x;9. September 2009
Kirkwood;3.0.x;17. Juni 2009
Timberline;2.2.x;21. November 2008
Sugarbowl;2.1.x;9. September 2008
Big Bear;2.x;11. Juli 2008
Little Bear;1.1.x;14. September 2007
Alpine;1.0.x;29. Juni 2007
